Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 800.0 and 3,000.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | simphotons choices
|              390.75 |        2,559,177.15 |    0.1% |        1,828.00 |          817.73 |  2.235 |         604.00 |    0.5% |     15.54 | `scan_soad_300`
|              391.39 |        2,555,010.61 |    0.5% |        1,828.00 |          819.40 |  2.231 |         604.00 |    0.5% |     15.63 | `scan_soal_300`
|              493.73 |        2,025,393.18 |    0.1% |        2,232.00 |        1,033.53 |  2.160 |         823.00 |    0.7% |     58.99 | `scan_map_100`
|              147.29 |        6,789,472.43 |    0.1% |          630.00 |          308.41 |  2.043 |         204.00 |    0.5% |     17.58 | `scan_hashmap_100`
|              112.06 |        8,923,769.73 |    0.2% |          623.00 |          234.61 |  2.655 |         204.00 |    0.5% |     13.35 | `scan_aosv_100`
|              135.16 |        7,398,714.71 |    0.3% |          830.00 |          282.95 |  2.933 |         305.00 |    0.0% |     16.14 | `scan_aosd_100`
|              150.32 |        6,652,349.17 |    0.2% |          622.00 |          314.67 |  1.977 |         204.00 |    0.5% |     18.02 | `scan_aosl_100`
|              136.16 |        7,344,233.90 |    0.1% |          626.00 |          284.97 |  2.197 |         204.00 |    1.0% |     16.27 | `scan_soav_100`
|              136.22 |        7,340,857.10 |    0.1% |          626.00 |          285.13 |  2.196 |         204.00 |    1.0% |     16.28 | `scan_soad_100`
|              135.93 |        7,356,856.80 |    0.2% |          626.00 |          284.55 |  2.200 |         204.00 |    1.0% |     16.28 | `scan_soal_100`
|              126.00 |        7,936,361.47 |    0.1% |          680.00 |          263.70 |  2.579 |         248.00 |    0.0% |     30.09 | `scan_map_30`
|               37.55 |       26,634,608.35 |    0.6% |          198.00 |           78.61 |  2.519 |          64.00 |    0.0% |      8.97 | `scan_hashmap_30`
|               32.39 |       30,870,908.83 |    0.5% |          201.00 |           67.81 |  2.964 |          64.00 |    0.0% |      7.74 | `scan_aosv_30`
|               41.79 |       23,929,772.14 |    0.5% |          263.00 |           87.46 |  3.007 |          94.00 |    0.0% |     10.03 | `scan_aosd_30`
|               29.09 |       34,373,004.55 |    0.4% |          200.00 |           60.93 |  3.283 |          64.00 |    0.0% |      6.96 | `scan_aosl_30`
|               37.51 |       26,660,879.39 |    0.5% |          204.00 |           78.53 |  2.598 |          64.00 |    0.0% |      8.97 | `scan_soav_30`
|               37.59 |       26,600,964.40 |    0.6% |          204.00 |           78.68 |  2.593 |          64.00 |    0.0% |      8.97 | `scan_soad_30`
|               37.40 |       26,739,491.17 |    0.4% |          204.00 |           78.33 |  2.605 |          64.00 |    0.0% |      8.95 | `scan_soal_30`
|               40.47 |       24,710,891.71 |    0.4% |          239.00 |           84.74 |  2.820 |          84.00 |    0.0% |      9.68 | `scan_map_10`
|               14.47 |       69,097,607.12 |    0.7% |           74.00 |           30.31 |  2.442 |          24.00 |    0.0% |      3.47 | `scan_hashmap_10`
|               12.04 |       83,038,731.46 |    0.1% |           81.00 |           25.23 |  3.211 |          24.00 |    0.0% |      2.90 | `scan_aosv_10`
|               15.06 |       66,396,761.54 |    0.9% |          103.00 |           31.53 |  3.267 |          34.00 |    0.0% |      3.60 | `scan_aosd_10`
|               11.56 |       86,540,625.78 |    1.4% |           80.00 |           24.20 |  3.306 |          24.00 |    0.0% |      2.77 | `scan_aosl_10`
|               11.85 |       84,391,845.42 |    1.0% |           84.00 |           24.80 |  3.386 |          24.00 |    0.0% |      2.87 | `scan_soav_10`
|               11.85 |       84,411,078.89 |    0.8% |           84.00 |           24.80 |  3.388 |          24.00 |    0.0% |      2.84 | `scan_soad_10`
|               11.81 |       84,645,845.82 |    0.8% |           84.00 |           24.73 |  3.397 |          24.00 |    0.0% |      2.84 | `scan_soal_10`
